,area_m2,treefall,branchfall,stand_dead
count,375.0,375.0,375.0,375.0
mean,30.347015380930937,0.0,1.0,0.0
std,26.40145065299994,0.0,0.0,0.0
min,2.21774637323,0.0,1.0,0.0
25%,13.6992741674,0.0,1.0,0.0
50%,23.814459854899997,0.0,1.0,0.0
75%,37.381141413150004,0.0,1.0,0.0
max,265.275066203,0.0,1.0,0.0
