,area_m2,treefall,branchfall,stand_dead
count,413.0,413.0,413.0,413.0
mean,77.64273859879064,1.0,0.0,0.0
std,76.25795227983434,0.0,0.0,0.0
min,2.63724954393,1.0,0.0,0.0
25%,30.901891822899998,1.0,0.0,0.0
50%,52.171966675,1.0,0.0,0.0
75%,95.85934170510001,1.0,0.0,0.0
max,486.74948854900003,1.0,0.0,0.0
