,model,a,b,r2,r,pvalue,n>0
d_p99.3_wsnumber,a+bx,6.235262466990246,0.689881578827108,0.04337690389258164,0.20827122675151707,0.16484032670167423,5
d_p99.6_wsnumber,a+bx,6.25290649501807,0.7823464876355972,0.03862996005676134,0.19654505859156418,0.19048028801402767,3
d_p99.2_wsnumber,a+bx,6.232164727279796,0.583776532876286,0.03470296411116136,0.18628731602329054,0.2151323588746797,7
d_p99.0_wsnumber,a+bx,6.245460630862729,0.3599962478994245,0.02058370736580495,0.1434702316364094,0.3414945149046551,8
d_p99.9_wsnumber,a+bx,6.280884294909114,0.9247490185693937,0.017478366015331148,0.1322057714902463,0.3811170978924828,1
d_p99.1_wsnumber,a+bx,6.2478760625937495,0.3970207950017916,0.017145133598886253,0.13093942721306825,0.3857354304854441,8
