,datetime1d,wsmx
245,2015-06-04,17.96
246,2015-06-05,26.21
247,2015-06-06,14.61
248,2015-06-07,20.57
249,2015-06-08,16.69
250,2015-06-09,21.7
251,2015-06-10,17.43
252,2015-06-11,15.06
253,2015-06-12,21.2
254,2015-06-13,20.11
255,2015-06-14,20.22
256,2015-06-15,23.5
257,2015-06-16,25.75
258,2015-06-17,27.69
259,2015-06-18,19.93
260,2015-06-19,27.77
261,2015-06-20,30.69
262,2015-06-21,27.77
263,2015-06-22,20.85
264,2015-06-23,27.02
265,2015-06-24,25.54
266,2015-06-25,25.19
267,2015-06-26,27.2
268,2015-06-27,28.26
269,2015-06-28,24.59
270,2015-06-29,26.04
271,2015-06-30,24.38
272,2015-07-01,28.12
273,2015-07-02,26.85
274,2015-07-03,25.33
275,2015-07-04,31.08
276,2015-07-05,25.05
277,2015-07-06,23.36
278,2015-07-07,26.74
279,2015-07-08,16.12
280,2015-07-09,14.99
281,2015-07-10,20.36
282,2015-07-11,21.17
283,2015-07-12,22.65
284,2015-07-13,18.49
285,2015-07-14,24.38
286,2015-07-15,20.96
287,2015-07-16,20.85
288,2015-07-17,19.37
289,2015-07-18,21.8
290,2015-07-19,18.98
291,2015-07-20,23.53
292,2015-07-21,25.33
293,2015-07-22,18.24
294,2015-07-23,15.21
295,2015-07-24,19.05
296,2015-07-25,28.86
297,2015-07-26,26.85
298,2015-07-27,28.08
299,2015-07-28,23.11
300,2015-07-29,24.84
301,2015-07-30,19.9
302,2015-07-31,26.6
303,2015-08-01,25.4
304,2015-08-02,22.51
305,2015-08-03,26.04
306,2015-08-04,30.87
307,2015-08-05,27.13
308,2015-08-06,24.77
309,2015-08-07,27.87
310,2015-08-08,22.47
311,2015-08-09,21.13
312,2015-08-10,15.35
313,2015-08-11,18.2
314,2015-08-12,23.67
315,2015-08-13,28.65
316,2015-08-14,24.45
317,2015-08-15,18.63
318,2015-08-16,30.45
319,2015-08-17,29.49
320,2015-08-18,15.91
321,2015-08-19,22.44
322,2015-08-20,25.68
