date,area_m2,treefall,branchfall,stand_dead
2016-07-13,44.95541462980,0,1,0
2016-07-13,56.57034032980,0,1,0
2016-07-13,38.17104159230,1,0,0
2016-07-13,27.19486533720,1,0,0
2016-07-13,28.17256068810,0,1,0
2016-07-13,280.68662117500,1,0,0
2016-07-13,58.75966680580,1,0,0
2016-07-13,102.05111944300,1,0,0
2016-07-13,71.21657070040,0,1,0
2016-07-13,30.28128729110,1,0,0
2016-07-13,57.16204068780,1,0,0
2016-07-13,30.30975646980,0,1,0
2016-07-13,56.34601746590,1,0,0
2016-07-13,420.66556583200,1,0,0
2016-07-13,82.38477266780,1,0,0
2016-07-13,80.29996687260,1,0,0
2016-07-13,312.41688818700,1,0,0
2016-07-13,19.84446932680,0,1,0
2016-07-13,48.46949593380,0,1,0
2016-07-13,112.73851514900,1,0,0
2016-07-13,311.37817103100,1,0,0
2016-07-13,237.52042967600,1,0,0
2016-07-13,94.70659443060,1,0,0
2016-07-13,46.81848406960,0,1,0
2016-07-13,85.24489222130,0,1,0
2016-07-13,159.27698856500,1,0,0
2016-07-13,2.63724954393,1,0,0
2016-07-13,202.88426481700,1,0,0
2016-07-13,404.10710420200,1,0,0
2016-07-13,107.55084129000,1,0,0
2016-07-13,16.77992486320,0,1,0
2016-07-13,80.92726914730,1,0,0
2016-07-13,45.53527306520,0,1,0
2016-07-13,23.84457999140,1,0,0
2016-07-13,15.59742942550,0,1,0
2016-07-13,9.25482956729,1,0,0
2016-07-13,73.26993645540,0,1,0
2016-07-13,30.83083692990,1,0,0
2016-07-13,10.57613370080,0,1,0
2016-07-13,21.94168815560,1,0,0
2016-07-13,86.45443795310,0,0,1
2016-07-13,110.31287196300,0,0,1
2016-07-13,38.99162741940,0,1,0
2016-07-13,41.84372167450,1,0,0
2016-07-13,12.55357853330,0,1,0
2016-07-13,112.92691583200,0,1,0
2016-07-13,194.18395841700,1,0,0
2016-07-13,70.22171797230,1,0,0
2016-07-13,24.82704425810,1,0,0
2016-07-13,26.84608578120,0,1,0
2016-07-13,11.21753248410,0,1,0
2016-07-13,15.08063778980,1,0,0
2016-07-13,41.40230753450,0,0,1
2016-07-13,7.49255757277,0,1,0
2016-07-13,7.56785977350,0,1,0
2016-07-13,20.29125030550,0,1,0
2016-07-13,37.59388119110,0,1,0
2016-07-13,93.78539914200,0,1,0
2016-07-13,7.89652117054,0,1,0
2016-07-13,88.32678956290,1,0,0
2016-07-13,9.46724983356,0,1,0
2016-07-13,11.34599883130,1,0,0
2016-07-13,56.39712219750,0,0,1
2016-07-13,52.36958138990,0,1,0
2016-07-13,16.95336891580,0,1,0
2016-07-13,9.69374938618,0,1,0
2016-07-13,8.78141141848,0,1,0
2016-07-13,19.68823333470,0,1,0
2016-07-13,39.15871043380,1,0,0
2016-07-13,8.89198686814,0,1,0
2016-07-13,52.17196667500,1,0,0
2016-07-13,21.44606849660,0,1,0
2016-07-13,40.71515385870,1,0,0
2016-07-13,14.39723771580,0,1,0
2016-07-13,17.88486790110,0,1,0
2016-07-13,22.94737452560,1,0,0
2016-07-13,20.25583743820,0,0,1
2016-07-13,5.63572195387,0,0,1
2016-07-13,33.24332020450,1,0,0
2016-07-13,39.23644182070,0,1,0
2016-07-13,38.47535354050,1,0,0
2016-07-13,11.03604462950,0,1,0
2016-07-13,4.56573812762,0,1,0
2016-07-13,40.76159614460,1,0,0
2016-07-13,2.65022491763,0,1,0
2016-07-13,26.39126455350,0,1,0
2016-07-13,49.00271678680,1,0,0
2016-07-13,75.66939417840,0,1,0
2016-07-13,56.95575908760,0,1,0
2016-07-13,25.09557243990,0,1,0
2016-07-13,32.83575465880,1,0,0
2016-07-13,74.31985205660,1,0,0
2016-07-13,7.52604454424,0,1,0
2016-07-13,52.01938328390,0,1,0
2016-07-13,16.11531815450,0,1,0
2016-07-13,33.96099143050,0,1,0
2016-07-13,24.99529968630,1,0,0
2016-07-13,9.69657964494,0,1,0
2016-07-13,21.74408511260,0,1,0
2016-07-13,49.93079543530,0,1,0
2016-07-13,28.89154051530,0,1,0
2016-07-13,14.02113039070,0,1,0
2016-07-13,37.39121782470,0,1,0
2016-07-13,7.37139760349,0,1,0
2016-07-13,72.36071330910,1,0,0
2016-07-13,24.45567658660,0,1,0
2016-07-13,12.07482770710,0,1,0
2016-07-13,17.62615221870,0,1,0
2016-07-13,31.84288288550,1,0,0
2016-07-13,7.77200044716,0,1,0
2016-07-13,9.09622534447,0,1,0
2016-07-13,9.42655965252,0,1,0
2016-07-13,30.25708940710,0,1,0
2016-07-13,65.85292664960,1,0,0
2016-07-13,15.08818332200,0,1,0
2016-07-13,137.07804467600,1,0,0
2016-07-13,84.19597443930,1,0,0
2016-07-13,9.60442243950,0,1,0
2016-07-13,13.35615040110,1,0,0
2016-07-13,7.17995387851,0,1,0
2016-07-13,31.80051060330,1,0,0
2016-07-13,4.43252442666,0,1,0
2016-07-13,333.34637986900,0,0,1
2016-07-13,40.60904382380,0,1,0
2016-07-13,28.07815315450,1,0,0
2016-07-13,11.30662123870,0,1,0
2016-07-13,35.97178307020,0,1,0
2016-07-13,34.23817084440,1,0,0
2016-07-13,11.96918579910,1,0,0
2016-07-13,100.25306499400,1,0,0
2016-07-13,121.00488629500,1,0,0
2016-07-13,48.10405161390,1,0,0
2016-07-13,67.10231756520,0,0,1
2016-07-13,53.15415818510,0,1,0
2016-07-13,71.41470560700,0,1,0
2016-07-13,58.27553040990,0,1,0
2016-07-13,116.48037816600,0,1,0
2016-07-13,9.63139721031,0,1,0
2016-07-13,17.25400883740,0,1,0
2016-07-13,27.75648192950,0,1,0
2016-07-13,90.27073293550,1,0,0
2016-07-13,35.19967651280,1,0,0
2016-07-13,41.57180625240,0,1,0
2016-07-13,38.22830433850,0,1,0
2016-07-13,14.25349755350,1,0,0
2016-07-13,13.66759589920,0,1,0
2016-07-13,62.96439541360,0,1,0
2016-07-13,31.98769582460,0,1,0
2016-07-13,25.17583161250,0,1,0
2016-07-13,13.30017781990,1,0,0
2016-07-13,8.34126052485,0,1,0
2016-07-13,20.93426310080,0,1,0
2016-07-13,181.73733962100,1,0,0
2016-07-13,24.52877516140,0,1,0
2016-07-13,211.17666054000,1,0,0
2016-07-13,5.52890657691,0,1,0
2016-07-13,13.14861781290,0,1,0
2016-07-13,52.92719908810,0,1,0
2016-07-13,9.16058060144,0,1,0
2016-07-13,5.78238163818,0,1,0
2016-07-13,21.44451534330,0,1,0
2016-07-13,23.08942006390,0,1,0
2016-07-13,13.81073650720,1,0,0
2016-07-13,12.85574538350,0,1,0
2016-07-13,9.42830976956,0,1,0
2016-07-13,29.22388529750,1,0,0
2016-07-13,13.98359118440,0,1,0
2016-07-13,7.03893656670,0,1,0
2016-07-13,16.09605033430,0,1,0
2016-07-13,23.79115771050,0,1,0
2016-07-13,44.50909071200,0,1,0
2016-07-13,28.25859006550,1,0,0
2016-07-13,7.81391571565,0,1,0
2016-07-13,51.36102843390,1,0,0
2016-07-13,4.69280872443,0,1,0
2016-07-13,10.79066218460,0,1,0
2016-07-13,11.10553296260,0,1,0
2016-07-13,7.27385066017,0,1,0
2016-07-13,12.36456606270,0,1,0
2016-07-13,5.00954688362,0,1,0
2016-07-13,13.10352108410,0,1,0
2016-07-13,7.78838564283,0,1,0
2016-07-13,11.14345977180,0,1,0
2016-07-13,19.12246207080,1,0,0
2016-07-13,6.85059614166,0,1,0
2016-07-13,24.49561037660,1,0,0
2016-07-13,30.33168938500,1,0,0
2016-07-13,9.46914678613,0,1,0
2016-07-13,6.51539396199,0,1,0
2016-07-13,8.45791704592,0,1,0
2016-07-13,57.72047925790,1,0,0
2016-07-13,33.57491595130,0,1,0
2016-07-13,34.20252921050,0,1,0
2016-07-13,17.31818738160,0,1,0
2016-07-13,9.72154161876,0,1,0
2016-07-13,24.71653128380,0,1,0
2016-07-13,15.22162962710,0,1,0
2016-07-13,13.73052274610,0,1,0
2016-07-13,51.46179646510,1,0,0
2016-07-13,32.91917088830,0,1,0
2016-09-22,33.67188514120,0,1,0
2016-09-22,157.98155416700,1,0,0
2016-09-22,65.36446857440,1,0,0
2016-09-22,173.63658110400,0,1,0
2016-09-22,80.64996690190,1,0,0
2016-09-22,237.63727385900,1,0,0
2016-09-22,51.45479601200,1,0,0
2016-09-22,162.00658753200,1,0,0
2016-09-22,54.47299302620,1,0,0
