Id,area_m2,date,MEAN
15,32.36223553,18/05/16,-14.91806597
15,17.63263385,18/05/16,-15.12049781
15,716.0295341,18/05/16,-21.56520866
15,49.03012023,18/05/16,-12.24803681
15,17.63615339,18/05/16,-17.54167684
15,47.3105225,18/05/16,-14.9740324
15,15.28228115,18/05/16,-0.698996544
15,17.96593616,18/05/16,-0.556465149
15,16.20273116,18/05/16,-11.76001336
15,35.97789453,18/05/16,-11.81552168
15,8.624350454,18/05/16,6.087540627
15,196.9716299,18/05/16,-7.880176138
15,26.16372584,18/05/16,-1.381530762
15,68.95968758,18/05/16,-14.10568462
15,35.07511495,18/05/16,-15.20347618
15,33.13657431,18/05/16,-11.87336192
15,61.19951676,18/05/16,-6.579459406
15,16.39172231,18/05/16,-8.480611529
15,57.49933907,18/05/16,-9.442669123
15,22.17746371,18/05/16,-7.727010976
15,46.30333102,18/05/16,-9.920290076
15,346.3520592,18/05/16,-11.47017672
15,25.11126984,18/05/16,-7.994916476
15,7.441636973,18/05/16,-6.621156693
15,43.39586412,18/05/16,-13.11967316
15,175.978017,18/05/16,-10.54574262
15,10.17833344,18/05/16,0.987513455
15,9.993094423,18/05/16,-0.745368958
15,13.14896783,18/05/16,-10.52443284
15,68.15307857,18/05/16,-18.06844967
15,51.56540331,18/05/16,-0.018544216
15,54.62861788,18/05/16,-9.333465429
15,34.93930599,18/05/16,-11.17564472
15,11.15033592,18/05/16,-3.389889804
15,30.91533152,18/05/16,-15.80592346
15,23.9484556,18/05/16,-10.01683461
15,15.97340332,18/05/16,-11.21849155
15,50.14630522,18/05/16,-15.02604488
15,45.31962893,18/05/16,-13.66544411
15,27.17054326,18/05/16,-2.411609226
15,10.27711579,18/05/16,-10.30793915
15,25.9213108,18/05/16,-11.62969666
15,65.42036774,18/05/16,-6.363393696
15,9.347362497,18/05/16,-9.083473206
15,13.49199046,18/05/16,-7.506115253
15,63.74231856,18/05/16,-5.852794209
15,23.43022085,18/05/16,-8.197873535
15,22.72962515,18/05/16,-11.26010422
15,8.663305111,18/05/16,-6.020884196
15,3.459628333,18/05/16,-0.427617391
15,9.590890445,18/05/16,-14.55817871
15,59.78566137,18/05/16,-13.03502099
15,63.6809125,18/05/16,-8.935178995
15,91.45270151,18/05/16,-8.37326544
15,13.96302887,18/05/16,0.614191328
15,19.19979786,18/05/16,-5.025584974
