,datetime1,ra,per
164439,2019-06-09 21:45:00,17.526000000000003,42
166520,2019-07-01 14:00:00,18.288000000000004,43
167381,2019-07-10 13:15:00,15.494000000000002,43
167713,2019-07-14 00:15:00,23.622,43
167766,2019-07-14 13:30:00,17.272000000000002,43
169965,2019-08-06 11:15:00,17.274,44
170694,2019-08-14 01:30:00,12.954,44
171419,2019-08-21 14:45:00,21.336,44
172086,2019-08-28 13:30:00,16.764,45
172087,2019-08-28 13:45:00,14.224,45
175067,2019-09-28 14:45:00,13.207999999999998,46
175230,2019-09-30 07:30:00,22.1,46
175231,2019-09-30 07:45:00,16.51,46
176026,2019-10-08 14:30:00,17.018,46
176215,2019-10-10 13:45:00,25.15,46
176777,2019-10-16 10:15:00,15.745999999999999,46
177756,2019-10-26 15:00:00,21.848000000000003,47
178381,2019-11-02 03:15:00,13.208,47
178507,2019-11-03 10:45:00,17.78,47
179753,2019-11-16 10:15:00,16.256,47
