,model,a,b,r2,r,pvalue,n>0
m_p98.2_ranumber,a+bx,5.746099158202894,0.5743491606489901,0.21504483442710054,0.46372926846070495,0.0011708842084834012,32
h_p97.7_ranumber,a+bx,5.815174587445638,0.6596495598605571,0.21342158429371938,0.461975739940659,0.0012292713636441529,30
m_p97.6_ranumber,a+bx,5.7095878342870225,0.5276236946911005,0.21295638683717033,0.46147197838782184,0.0012465180730064588,33
m_p98.3_ranumber,a+bx,5.755874744097145,0.587246349790566,0.21251872903362024,0.4609975369062406,0.0012629578022503004,32
h_p97.8_ranumber,a+bx,5.816850286354288,0.6635640173042303,0.21023447160643605,0.45851332762138564,0.001352231948830302,30
m_p97.5_ranumber,a+bx,5.714885850314517,0.5140197244601739,0.20989585619613527,0.4581439251983325,0.0013659760716582133,33
